"title","category_name","view_count","like_count","comment_count","published_at","thumbnail_url","tags","subscriber_count","video_count","is_weekend","video_length"
"3 mẹ con đổi iphone 16 pro max lấy xe ô tô điện 3 bánh siêu hời !!","People & Blogs",1143849,15522,19,"2024-10-24 12:14:39","https://i.ytimg.com/vi/pDRmEdSJ4U0/hqdefault.jpg","XE ĐIỆN MẠNH PHÁT,xe đạp điện cũ,xe máy điện cũ,xe đạp điện giá rẻ,XE ĐIỆN,MẠNH PHÁT,XE ĐIỆN THÔNG MINH,XE ĐẠP ĐIỆN,XE ĐIện,review xe điện,review xe đạp điện,REVIEW XE ĐIỆN,REVIEW XE ĐẠP ĐIỆN,mua bán xe điện,mua bán xe điện cũ,bán xe điện,mua xe điện,XE ĐIỆN GIÁ RẺ,mạnh phát,xe điện mạnh phát,@XeDienManhPhat",145000,2001,False,"0:01:00"
"Ừ THÌ CHIA TAY - CAPTAIN BOY ft. RHYDER | OFFICIAL MV","Music",3135010,204773,43642,"2024-10-23 12:00:08","https://i.ytimg.com/vi/ZNVVMlZbzVk/hqdefault.jpg","captain,captain boy,rhyder,rhycap,caption,captian,đức duy,underdog,underdogs,hoàng đưucs duy,hoàng đức duy,duc huy,the voice kid,nguyễn quang anh,quang anh,caprhy,say hi,chân thành,anh trai say hi,hùng huỳnh,mv debut,ừ thì chia tay,u thi chia tay,utct,ừ thì,chia tay,ừ,thì,chia,tay,official mv,rap việt,mùa 3,rolling down,quên dần quên,anh mong em sẽ cố quên,anh mong em se co quen,amescq,qdq,cừu,cừu có cánh,cuu co canh,fan captain,kim tử tháp",141000,86,False,"0:04:37"
"Minecraft nhưng Bạn Cho Mình Hiệu Ứng Để Thoát Ra…","Entertainment",853066,116062,132,"2024-10-26 14:09:46","https://i.ytimg.com/vi/Zat3bmUtveA/hqdefault.jpg","",567000,231,True,"0:00:49"
"The Joker and the Angel fell into the hole, but luckily Harley Quinn rescued them #Angel","People & Blogs",32882177,477152,250,"2024-10-22 23:00:04","https://i.ytimg.com/vi/A_25Ak4qtzw/hqdefault.jpg","超人夫妇,美漫,超人,蜘蛛侠,二次元,金刚,怪兽,斗罗大陆,唐三,小舞",5970000,1782,False,"0:00:20"
"Máy phát hiện nói dối","People & Blogs",3031451,132253,632,"2024-10-19 11:08:34","https://i.ytimg.com/vi/o4TuCX6VbJY/hqdefault.jpg","",1130000,95,True,"0:00:59"
"#shaolinkungfu","Entertainment",1754181,21083,33,"2024-10-21 03:03:30","https://i.ytimg.com/vi/sE06oUxJFlY/hqdefault.jpg","",129000,664,False,"0:00:24"
"* when the enemy has weapons [Nam Phương] #namphuong #shorts #kungfu #martialarts #fighting #shaolin","Entertainment",16022157,230358,712,"2024-10-23 15:01:02","https://i.ytimg.com/vi/vWsgTlpRfSE/hqdefault.jpg","nam phương,nam phuong,võ thuật điện ảnh,huấn luyện võ thuật điện ảnh,võ thuật,võ hiện đại,diễn viên hành động,ngôi sao võ thuật,trung tâm võ,học võ,tự vệ,eagle,shorts,lớp dạy võ,siêu nhân,phim hanh dong vo thuat,phim võ thuật,tự vệ thực chiến,eagles academy,tiktok,điện ảnh,đóng thế,huấn luyện,diễn viên đóng thế,và cái kết,nhào lộn đường phố,tik tok,ben eagle,ben,nam phương eagles academy,diễn viên nam phương,nam phương tiktok",10800000,3939,False,"0:00:59"
"Ơ lạ nhỉ #tinhlong #shorts #comedy","Comedy",858428,31110,480,"2024-10-24 05:00:49","https://i.ytimg.com/vi/nbv9hNL_eA4/hqdefault.jpg","tinh long,tinh long tiktok,tinh long hài,hài ngắn tiktok,hài ngắn,video hài hước,hài tiktok 2022,coi cấm cười,tiktok hài,troll,tinh long tiktoker hài hước,funny video,funny,funny troll,cà khịa funny,tấu hài,tiktok cà khịa,tiktoktinhlong,tiktoker tinh long,shorts,comedy,tinh long comedy,tinh long fake situation,tinh long official,tinh long short comedy,tinh long short,tinh long prank,funny prank,tinh long funny challenge,comedy skit",1010000,303,False,"0:00:12"
"Chị Đẹp Đạp Gió 2024 - Tập 1 | Mỹ Linh & Thu Phương TRỞ LẠI, SÂN KHẤU RA MẮT của 30 CHỊ ĐẸP bắt đầu!","Entertainment",1723647,44332,5766,"2024-10-26 13:30:07","https://i.ytimg.com/vi/FH8jhZYLY6I/hqdefault.jpg","Chị Đẹp Đạp Gió 2024,Chị Đẹp Đạp Gió,Chị Đẹp 2024,Chị Đẹp mùa 2,Chi Dep Dap Gio,Chi Dep Dap Gio 2024,ChiDep,ChiDepDapGio,ChiDepDapGio2024,chị đẹp đạp gió 2024,chị đẹp 2024,chị đẹp tập 1,chị đẹp đạp gió rẽ sóng,chị đẹp đạp gió rẽ sóng mùa 2,đạp gió rẽ sóng,chị đẹp mùa 2,mùa 2 chị đẹp,chị đẹp đạp gió tập 1,chị đẹp đạp gió 2024 tập 1,tập 1 chị đẹp đạp gió,tập 1 chị đẹp mùa 2,mỹ linh chị đẹp mùa 2,thu phương trở lại chị đẹp,30 chị đẹp ra mắt",445000,1772,True,"3:11:20"
"Tặng túi mù tặng túi mù tặng túi mù","Entertainment",1059888,35200,1523,"2024-10-24 02:11:04","https://i.ytimg.com/vi/DEJeoF5fihc/hqdefault.jpg","nmt vlogs,nmt vlog,nguyễn minh trường,nmt,mnt,ntm vlogs,mnt vlogs,mtn vlogs,nmtvlog99,nmt tiktok,tiktok nmt,tiktok,tik tok,tiktok giải trí,gia đình bất ổn,bất ổn,hài hước,giải trí,tony tv,ntn vlog,gia dinh bat on,hài,vlog hài,hài nhà làm,hài gia đình,hài bất ổn,hài mới,phim hài,bà tuyết diamond,tắt máy thấy người,ăn vặt bà tuyết,an vat ba tuyet,đồ ăn vặt,que cay,que cay bà tuyết",941000,881,False,"0:00:18"
